Date,Room,Device,Power_Consumption,Temperature,Humidity,Status,Year,Month,Week
2016-01-01,Bedroom1,AC,152,31.9,47.3,OFF,2016,1,53
2016-01-01,Bedroom1,Lamp,238,29.0,57.8,ON,2016,1,53
2016-01-01,Bedroom1,TV,380,26.9,53.3,OFF,2016,1,53
2016-01-01,Bedroom1,Heater,201,29.8,42.3,OFF,2016,1,53
2016-01-01,Bedroom1,Fan,463,23.2,47.3,ON,2016,1,53
2016-01-01,Bedroom2,AC,210,24.6,61.0,OFF,2016,1,53
2016-01-01,Bedroom2,Lamp,394,24.4,64.5,OFF,2016,1,53
2016-01-01,Bedroom2,TV,237,25.5,58.2,ON,2016,1,53
2016-01-01,Bedroom2,Heater,495,23.0,60.6,OFF,2016,1,53
2016-01-01,Bedroom2,Fan,180,32.9,67.2,ON,2016,1,53
2016-01-01,Kitchen,AC,216,20.2,77.7,OFF,2016,1,53
2016-01-01,Kitchen,Lamp,291,25.8,40.6,OFF,2016,1,53
2016-01-01,Kitchen,TV,389,23.6,67.3,OFF,2016,1,53
2016-01-01,Kitchen,Heater,313,20.5,76.4,OFF,2016,1,53
2016-01-01,Kitchen,Fan,99,29.9,52.5,OFF,2016,1,53
2016-01-01,Living Room,AC,103,28.2,47.4,ON,2016,1,53
2016-01-01,Living Room,Lamp,451,31.6,77.6,OFF,2016,1,53
2016-01-01,Living Room,TV,319,30.9,53.1,OFF,2016,1,53
2016-01-01,Living Room,Heater,264,27.8,78.4,ON,2016,1,53
2016-01-01,Living Room,Fan,257,31.2,61.6,OFF,2016,1,53
2016-01-01,Store Room,AC,459,34.5,64.3,ON,2016,1,53
2016-01-01,Store Room,Lamp,90,24.4,46.6,ON,2016,1,53
2016-01-01,Store Room,TV,376,26.4,55.8,OFF,2016,1,53
2016-01-01,Store Room,Heater,112,32.2,68.3,ON,2016,1,53
2016-01-01,Store Room,Fan,468,31.6,43.0,ON,2016,1,53
2016-01-02,Bedroom1,AC,90,33.7,74.0,OFF,2016,1,53
2016-01-02,Bedroom1,Lamp,467,21.4,54.8,OFF,2016,1,53
2016-01-02,Bedroom1,TV,265,30.0,63.7,OFF,2016,1,53
2016-01-02,Bedroom1,Heater,84,27.1,44.8,OFF,2016,1,53
2016-01-02,Bedroom1,Fan,180,31.4,62.5,ON,2016,1,53
2016-01-02,Bedroom2,AC,447,27.4,60.9,ON,2016,1,53
2016-01-02,Bedroom2,Lamp,395,20.4,44.3,ON,2016,1,53
2016-01-02,Bedroom2,TV,401,29.5,52.6,OFF,2016,1,53
2016-01-02,Bedroom2,Heater,437,33.6,50.0,ON,2016,1,53
2016-01-02,Bedroom2,Fan,192,31.3,49.2,OFF,2016,1,53
2016-01-02,Kitchen,AC,376,24.3,46.4,OFF,2016,1,53
2016-01-02,Kitchen,Lamp,219,32.1,65.3,OFF,2016,1,53
2016-01-02,Kitchen,TV,333,32.1,47.5,OFF,2016,1,53
2016-01-02,Kitchen,Heater,495,28.1,72.3,OFF,2016,1,53
2016-01-02,Kitchen,Fan,280,33.6,50.9,ON,2016,1,53
2016-01-02,Living Room,AC,495,20.0,54.1,ON,2016,1,53
2016-01-02,Living Room,Lamp,408,22.5,61.4,OFF,2016,1,53
2016-01-02,Living Room,TV,214,30.4,50.8,OFF,2016,1,53
2016-01-02,Living Room,Heater,364,24.8,60.8,ON,2016,1,53
2016-01-02,Living Room,Fan,229,25.5,78.9,OFF,2016,1,53
2016-01-02,Store Room,AC,317,23.8,59.9,ON,2016,1,53
2016-01-02,Store Room,Lamp,150,24.3,41.5,ON,2016,1,53
2016-01-02,Store Room,TV,51,27.5,42.1,ON,2016,1,53
2016-01-02,Store Room,Heater,273,33.6,49.6,OFF,2016,1,53
2016-01-02,Store Room,Fan,102,27.3,79.4,OFF,2016,1,53
2016-01-03,Bedroom1,AC,296,30.1,70.5,ON,2016,1,53
2016-01-03,Bedroom1,Lamp,450,30.9,54.7,OFF,2016,1,53
2016-01-03,Bedroom1,TV,147,29.5,61.4,OFF,2016,1,53
2016-01-03,Bedroom1,Heater,193,32.5,52.8,OFF,2016,1,53
2016-01-03,Bedroom1,Fan,398,32.9,53.0,OFF,2016,1,53
2016-01-03,Bedroom2,AC,452,30.7,72.4,OFF,2016,1,53
2016-01-03,Bedroom2,Lamp,401,21.4,77.6,OFF,2016,1,53
2016-01-03,Bedroom2,TV,177,27.8,73.5,ON,2016,1,53
2016-01-03,Bedroom2,Heater,490,21.7,77.0,OFF,2016,1,53
2016-01-03,Bedroom2,Fan,347,23.9,66.4,OFF,2016,1,53
2016-01-03,Kitchen,AC,161,28.3,61.2,OFF,2016,1,53
2016-01-03,Kitchen,Lamp,434,21.4,75.9,ON,2016,1,53
2016-01-03,Kitchen,TV,209,29.5,53.6,ON,2016,1,53
2016-01-03,Kitchen,Heater,196,30.9,75.9,OFF,2016,1,53
2016-01-03,Kitchen,Fan,103,31.7,65.7,ON,2016,1,53
2016-01-03,Living Room,AC,162,22.4,75.9,OFF,2016,1,53
2016-01-03,Living Room,Lamp,303,20.1,44.1,ON,2016,1,53
2016-01-03,Living Room,TV,202,20.1,46.4,OFF,2016,1,53
2016-01-03,Living Room,Heater,243,30.4,66.1,ON,2016,1,53
2016-01-03,Living Room,Fan,210,20.3,59.8,OFF,2016,1,53
2016-01-03,Store Room,AC,453,25.5,69.8,ON,2016,1,53
2016-01-03,Store Room,Lamp,450,24.6,61.7,ON,2016,1,53
2016-01-03,Store Room,TV,420,29.5,50.0,OFF,2016,1,53
2016-01-03,Store Room,Heater,87,34.7,59.5,OFF,2016,1,53
2016-01-03,Store Room,Fan,332,26.5,54.0,ON,2016,1,53
2016-01-04,Bedroom1,AC,333,30.0,74.6,OFF,2016,1,1
2016-01-04,Bedroom1,Lamp,366,27.5,62.9,OFF,2016,1,1
2016-01-04,Bedroom1,TV,98,20.7,79.8,OFF,2016,1,1
2016-01-04,Bedroom1,Heater,95,33.7,54.8,ON,2016,1,1
2016-01-04,Bedroom1,Fan,86,33.9,57.1,ON,2016,1,1
2016-01-04,Bedroom2,AC,144,34.5,74.1,ON,2016,1,1
2016-01-04,Bedroom2,Lamp,302,25.8,74.0,OFF,2016,1,1
2016-01-04,Bedroom2,TV,372,22.5,62.3,ON,2016,1,1
2016-01-04,Bedroom2,Heater,103,30.4,62.8,OFF,2016,1,1
2016-01-04,Bedroom2,Fan,163,29.2,79.6,OFF,2016,1,1
2016-01-04,Kitchen,AC,176,27.8,75.1,ON,2016,1,1
2016-01-04,Kitchen,Lamp,153,30.5,68.1,OFF,2016,1,1
2016-01-04,Kitchen,TV,88,24.4,72.4,ON,2016,1,1
2016-01-04,Kitchen,Heater,355,33.0,76.5,OFF,2016,1,1
2016-01-04,Kitchen,Fan,440,27.5,71.9,ON,2016,1,1
2016-01-04,Living Room,AC,313,30.5,71.8,OFF,2016,1,1
2016-01-04,Living Room,Lamp,420,25.1,55.0,OFF,2016,1,1
2016-01-04,Living Room,TV,337,28.7,41.4,ON,2016,1,1
2016-01-04,Living Room,Heater,235,28.1,51.5,OFF,2016,1,1
2016-01-04,Living Room,Fan,107,20.5,41.5,OFF,2016,1,1
2016-01-04,Store Room,AC,320,25.4,45.1,ON,2016,1,1
2016-01-04,Store Room,Lamp,313,31.5,48.6,ON,2016,1,1
2016-01-04,Store Room,TV,152,21.3,42.1,OFF,2016,1,1
2016-01-04,Store Room,Heater,399,28.1,65.5,OFF,2016,1,1
2016-01-04,Store Room,Fan,193,34.6,60.7,OFF,2016,1,1
2016-01-05,Bedroom1,AC,196,31.9,50.8,OFF,2016,1,1
2016-01-05,Bedroom1,Lamp,107,21.2,41.0,ON,2016,1,1
2016-01-05,Bedroom1,TV,367,32.5,67.8,ON,2016,1,1
2016-01-05,Bedroom1,Heater,178,22.6,46.3,OFF,2016,1,1
